Regional Economy,Statistic,Value,Footnote,Year,Unit of Measurement,Sustainable Development Goal,ADB Code
Afghanistan,Age Dependency Ratio,80.1,,2020,% of working-age population,,AFG
Afghanistan,Annual Change in Money Supply,12.1,,2020,%,,AFG
Afghanistan,Annual Growth Rate of GDP,-5,,2020,%,,AFG
Afghanistan,Annual Growth Rate of Real GDP per Employed Person,-0.9,,2019,%,8.2.1,AFG
Afghanistan,"Annual Real Growth Rates on Value Added, Agriculture",5,,2020,%,,AFG
Afghanistan,"Annual Real Growth Rates on Value Added, Industry",-5,,2020,%,,AFG
Afghanistan,"Annual Real Growth Rates on Value Added, Services",-9.6,,2020,%,,AFG
Afghanistan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,59.9,,2016,μg/m3,11.6.2,AFG
Afghanistan,Average Annual Population Growth Rate,3,,2015-2020,%,,AFG
Afghanistan,CO2 Emissions,…,,2018,Million Metric Tons,9.4.1,AFG
Afghanistan,CO2 Emissions,…,,2018,Per Unit of GDP (PPP),9.4.1,AFG
Afghanistan,Coverage of Protected Areas in Relation to Marine Areas,–,,2020,%,14.5.1,AFG
Afghanistan,Current Account Balance,10.7,,2020,% of GDP,,AFG
Afghanistan,Debt Service as a Percentage of Exports of Goods and Services,2.4,,2019,%,17.4.1,AFG
Afghanistan,Domestic Material Consumption,67.9,,2017,Million Metric Tons,12.2.2,AFG
Afghanistan,Domestic Material Consumption,1.9,,2017,Per Capita,12.2.2,AFG
Afghanistan,Forest Area as a Proportion of Total Land Area,1.9,,2020,%,15.1.1,AFG
Afghanistan,"Government Finance, Expenditure",29.5,,2020,% of  GDP,,AFG
Afghanistan,"Government Finance, Fiscal Balance",-2.5,,2020,% of  GDP,,AFG
Afghanistan,"Government Finance, Revenue",27,,2020,% of  GDP,,AFG
Afghanistan,Gross Domestic Investment,…,,2020,% of GDP,,AFG
Afghanistan,Gross International Reserves,9726.8,,2020,$ million,,AFG
Afghanistan,Growth Rate of Merchandise Exports,-10.1,,2020,%,,AFG
Afghanistan,Growth Rate of Merchandise Imports,-4.5,,2020,%,,AFG
Afghanistan,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,AFG
Afghanistan,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,10.1.1,AFG
Afghanistan,Inflation Rate,5.6,,2020,%,,AFG
Afghanistan,Material Footprint,43.4,,2017,Million Metric Tons,12.2.1,AFG
Afghanistan,Material Footprint,1.2,,2017,Per Capita,12.2.1,AFG
Afghanistan,Maternal Mortality Ratio,638,,2017,"per 100,000 live births",3.1.1,AFG
Afghanistan,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",35.3,,2019,%,3.4.1,AFG
Afghanistan,Neonatal Mortality Rate,35.9,,2019,"per 1,000 live births",3.2.2,AFG
Afghanistan,Nominal Gross Domestic Product,21.3,,2020,$ billion,,AFG
Afghanistan,Number of ATMs,1.6,,2019,"per 100,000 adults",8.10.1,AFG
Afghanistan,Number of Commercial Bank Branches,1.9,,2019,"per 100,000 adults",8.10.1,AFG
Afghanistan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",…,,2019,%,4.2.2,AFG
Afghanistan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",…,,2019,%,4.2.2,AFG
Afghanistan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",…,,2019,%,4.2.2,AFG
Afghanistan,"Per Capita Gross National Income (GNI), Atlas Method",530,,2019,$,,AFG
Afghanistan,Population Density,48,,2020,persons per km2 of surface area,,AFG
Afghanistan,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,4.1,,2018,%,2.2.1,AFG
Afghanistan,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,5.1,,2018,%,2.2.1,AFG
Afghanistan,Prevalence of Stunting among Children under 5 Years of Age,38.2,,2018,%,2.2.1,AFG
Afghanistan,Prevalence of Undernourishment,29.9,,2017-2019,%,2.1.1,AFG
Afghanistan,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,14.9,,2017,%,8.10.2,AFG
Afghanistan,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,42.3,3,2015,%,16.9.1,AFG
Afghanistan,"Proportion of Employed Population below $1.90 PPP a Day, Female",45.1,,2019,%,1.1.1,AFG
Afghanistan,"Proportion of Employed Population below $1.90 PPP a Day, Male",31.4,,2019,%,1.1.1,AFG
Afghanistan,"Proportion of Employed Population below $1.90 PPP a Day, Total",34.3,,2019,%,1.1.1,AFG
Afghanistan,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,…,,2018,%,,AFG
Afghanistan,"Proportion of Population Covered by Mobile Network, 2G",90,,2019,%,9.c.1,AFG
Afghanistan,"Proportion of Population Covered by Mobile Network, 3G",60,,2019,%,9.c.1,AFG
Afghanistan,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",22,,2019,%,9.c.1,AFG
Afghanistan,Proportion of Population Living below the National Poverty Line,47.3,8,2020,%,,AFG
Afghanistan,"Proportion of Population Using Safely Managed Drinking Water Services, Rural",…,,2017,%,6.1.1,AFG
Afghanistan,"Proportion of Population Using Safely Managed Drinking Water Services, Total",…,,2017,%,6.1.1,AFG
Afghanistan,"Proportion of Population Using Safely Managed Drinking Water Services, Urban",…,,2017,%,6.1.1,AFG
