Regional Economy,Statistic,Value,Year,Sustainable Development Goal,Country Code
Afghanistan,"Age Dependency Ratio (Number of persons aged <15 and >= 65 to Number of persons aged 15-64 years, %)",86.95,2015,,AFG
Afghanistan,Average Annual Population Growth Rate (%),1.96,2011-2016,,AFG
Afghanistan,Gini Index (%),,,,AFG
Afghanistan,"Land, Total Surface Area ('000  km2)",652.86,,,AFG
Afghanistan,Population Density (persons per km2 of total surface area),44.73,2016,,AFG
Afghanistan,Total Fertility Rate (births per woman),4.65,2015,,AFG
Afghanistan,Total Population (million),29.2,2016,,AFG
Afghanistan,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Female (%)",,,1.1.1,AFG
Afghanistan,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Male (%)",,,1.1.1,AFG
Afghanistan,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Total (%)",,,1.1.1,AFG
Afghanistan,Proportion of Population below $1.90 Purchasing Power Parity (%),,,1.1.1,AFG
Afghanistan,Proportion of Population Living below the National Poverty Line (%),39.1,2014,1.2.1,AFG
Afghanistan,Growth Rates of Household Expenditure or Income per Capita (%),,,10.1.1,AFG
Afghanistan,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population (%),,,10.1.1,AFG
Afghanistan,Proportion of Urban Population Living in Slums (%),62.7,2014,11.1.1,AFG
Afghanistan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas (migrogram/m3) (%),63.4,2014,11.6.2,AFG
Afghanistan,"Material Footprint, Million Metric Tons",63.03,2015,12.2.1,AFG
Afghanistan,"Material Footprint, Per Capita",1.97,2015,12.2.1,AFG
Afghanistan,"Domestic Material Consumption, Million Metric Tons",94.28,2015,12.2.2,AFG
Afghanistan,"Domestic Material Consumption, Per Capita",2.95,2015,12.2.2,AFG
Afghanistan,Coverage of Protected Areas in Relation to Marine Areas (%),,,14.5.1,AFG
Afghanistan,Forest Area as a Proportion of Total Land Area (%),2.07,2015,15.1.1,AFG
Afghanistan,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority (%),37.4,2011,16.9.1,AFG
Afghanistan,Volume of Remittances in US Dollars as a Proportion of Total GDP (%),1.56,2015,17.3.2,AFG
Afghanistan,Debt Service as a Percentage of Exports of Goods and Services (%),1.61,2015,17.4.1,AFG
Afghanistan,Fixed Broadband Subscriptions (per 100 inhabitants),0.33,2015,17.6.2,AFG
Afghanistan,Proportion of Individuals Using the Internet (%),8.26,2015,17.8.1,AFG
Afghanistan,Prevalence of Undernourishment (%),26.8,2014-2016,2.1.1,AFG
Afghanistan,Prevalence of Stunting among Children under 5 Years of Age (%),40.9,2013,2.2.1,AFG
Afghanistan,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age (%),5.4,2013,2.2.2,AFG
Afghanistan,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age (%),9.5,2013,2.2.2,AFG
Afghanistan,"Maternal Mortality Ratio (per 100,000 live births)",396,2015,3.1.1,AFG
Afghanistan,Proportion of Births Attended by Skilled Health Personnel (%),45.2,2014,3.1.2,AFG
