Regional Economy,Statistic,Value,Unit of Measurement,Year,Sustainable Development Goal,Country Code
Afghanistan,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Female",86.4,%,2017,1.1.1,AFG
Afghanistan,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Male",82.9,%,2017,1.1.1,AFG
Afghanistan,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Total",83.4,%,2017,1.1.1,AFG
Afghanistan,Growth Rates of Household Expenditure or Income per Capita,,%,,10.1.1,AFG
Afghanistan,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,%,,10.1.1,AFG
Afghanistan,Proportion of Urban Population Living in Slums,62.7,%,2014,11.1.1,AFG
Afghanistan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas,63.4,migrogram/m3,2014,11.6.2,AFG
Afghanistan,"Material Footprint, Million Metric Tons ",63,,2015,12.2.1,AFG
Afghanistan,"Material Footprint, Per Capita ",2,,2015,12.2.1,AFG
Afghanistan,"Domestic Material Consumption, Million Metric Tons",94.3,,2015,12.2.2,AFG
Afghanistan,"Domestic Material Consumption, Per Capita",2.9,,2015,12.2.2,AFG
Afghanistan,Coverage of Protected Areas in Relation to Marine Areas,,%,2016,14.5.1,AFG
Afghanistan,Forest Area as a Proportion of Total Land Area,2.1,%,2015,15.1.1,AFG
Afghanistan,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,42.3,%,2015,16.9.1,AFG
Afghanistan,Volume of Remittances in US Dollars as a Proportion of Total GDP,2,%,2016,17.3.2,AFG
Afghanistan,Debt Service as a Percentage of Exports of Goods and Services,3.4,%,2016,17.4.1,AFG
Afghanistan,Prevalence of Undernourishment,23,%,2014-2016,2.1.1,AFG
Afghanistan,Prevalence of Stunting among Children under 5 Years of Age,40.9,%,2013,2.1.1,AFG
Afghanistan,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,5.4,%,2013,2.2.2,AFG
Afghanistan,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,9.5,%,2013,2.2.2,AFG
Afghanistan,Maternal Mortality Ratio,396,"per 100,000 live births",2015,3.1.1,AFG
Afghanistan,Under-5 Mortality Rate,70,"per 1,000 live births",2016,3.2.1,AFG
Afghanistan,Neonatal Mortality Rate,40,"per 1,000 live births",2016,3.2.2,AFG
Afghanistan,Tuberculosis Incidence,189,"per 100,000 population",2016,3.3.2,AFG
Afghanistan,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",31,%,2015,3.4.1,AFG
Afghanistan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",,%,2016,4.2.2,AFG
Afghanistan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",,%,2016,4.2.2,AFG
Afghanistan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",,%,2016,4.2.2,AFG
Afghanistan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",,%,2016,4.c.1,AFG
Afghanistan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",,%,2016,4.c.1,AFG
Afghanistan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Primary",,%,2016,4.c.1,AFG
Afghanistan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Upper Secondary",,%,2016,4.c.1,AFG
Afghanistan,Proportion of Seats Held by Women in National Parliaments,27.7,%,2017,5.5.1,AFG
Afghanistan,"Proportion of Population Using Safely Managed Drinking Water Services, Rural",,%,2015,6.1.1,AFG
Afghanistan,"Proportion of Population Using Safely Managed Drinking Water Services, Total",,%,2015,6.1.1,AFG
Afghanistan,"Proportion of Population Using Safely Managed Drinking Water Services, Urban",,%,2015,6.1.1,AFG
Afghanistan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Rural",,%,2015,6.2.1,AFG
Afghanistan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Total",,%,2015,6.2.1,AFG
Afghanistan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",,%,2015,6.2.1,AFG
Afghanistan,Proportion of Population with Access to Electricity,84.1,%,2016,7.1.1,AFG
Afghanistan,Renewable Energy Share in the Total Final Energy Consumption,18.4,%,2015,7.2.1,AFG
Afghanistan,Number of ATMs,1.1,"per 100,000 adults",2016,8.10.1,AFG
Afghanistan,Number of Commercial Bank Branches,2.2,"per 100,000 adults",2016,8.10.1,AFG
Afghanistan,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile-Money-Service Provider,14.9,%,2017,8.10.2,AFG
Afghanistan,Annual Growth Rate of Real GDP per Employed Person,-1.9,%,2016,8.2.1,AFG
Afghanistan,"Unemployment Rate, Female",13,%,2016,8.5.2,AFG
Afghanistan,"Unemployment Rate, Male",8,%,2016,8.5.2,AFG
Afghanistan,"Unemployment Rate, Total",8.8,%,2016,8.5.2,AFG
Afghanistan,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Female",,%,2016,8.6.1,AFG
Afghanistan,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Male",,%,2016,8.6.1,AFG
Afghanistan,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Total",,%,2016,8.6.1,AFG
Afghanistan,"CO2 Emissions, Million Metric Tons",,,,9.4.1,AFG
Afghanistan,"CO2 Emissions, Per Unit of GDP (PPP)",,,,9.4.1,AFG
Afghanistan,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",436.8,"disbursements, constant 2015, $ million",2016,9.a.1,AFG
Afghanistan,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",0.5,"disbursements, constant 2015, $ million",2016,9.a.1,AFG
Afghanistan,"Proportion of Population Covered by Mobile Network, 2G",89.4,%,2016,9.c.1,AFG
Afghanistan,"Proportion of Population Covered by Mobile Network, 3G",40,%,2016,9.c.1,AFG
Afghanistan,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",,%,2016,9.c.1,AFG
Afghanistan,Age Dependency Ratio,87,% of working-age population,2016,,AFG
Afghanistan,Annual Change in Money Supply,4.1,%,2017,,AFG
Afghanistan,Annual Growth Rate of Gross Domestic Product (GDP),2.4,%,2016,,AFG
Afghanistan,Annual Growth Rate of Gross Domestic Product (GDP),2.5,%,2017,,AFG
Afghanistan,"Annual Real Growth Rates on Value Added, Agriculture",1.5,%,2017,,AFG
Afghanistan,"Annual Real Growth Rates on Value Added, Industry",2,%,2017,,AFG
Afghanistan,"Annual Real Growth Rates on Value Added, Services",3.3,%,2017,,AFG
Afghanistan,Average Annual Population Growth Rate,1.9,%,2012-2017,,AFG
Afghanistan,"Central Government Finance, Expenditure",23.9,% of GDP,2017,,AFG
Afghanistan,"Central Government Finance, Fiscal Balance",0.1,% of GDP,2017,,AFG
Afghanistan,"Central Government Finance, Revenue",24,% of GDP,2017,,AFG
Afghanistan,Current Account Balance,4.5,% of GDP,2017,,AFG
Afghanistan,"External Debt, Total Outstanding",6.2,% of GNI,2016,,AFG
Afghanistan,"External Debt, Total Outstanding",1242,$ million,2016,,AFG
Afghanistan,Gross Domestic Investment,17.2,% of GDP,2016,,AFG
Afghanistan,Gross International Reserves,8159,$ million,2017,,AFG
Afghanistan,Growth Rate of Merchandise Exports,16.7,%,2017,,AFG
Afghanistan,Growth Rate of Merchandise Imports,14.7,%,2017,,AFG
Afghanistan,Inflation Rate,5,%,2017,,AFG
Afghanistan,"Land, Total Surface Area",652.86,",000  km2",,,AFG
Afghanistan,"Per Capita Gross National Income (GNI), Atlas Method",580,$,2016,,AFG
Afghanistan,Population Density,45,persons per km2 of surface area,2017,,AFG
Afghanistan,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,,%,2016,,AFG
Afghanistan,Proportion of Population Living below the National Poverty Line,39.1,%,2013,,AFG
Afghanistan,Total Fertility Rate,4.6,births per woman,2016,,AFG
Afghanistan,Total Population,29.7,million,2017,,AFG
Afghanistan,Trade Balance,-31.6,% of GDP,2017,,AFG
Armenia,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Female",1.6,%,2017,1.1.1,ARM
Armenia,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Male",1.1,%,2017,1.1.1,ARM
Armenia,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Total",1.3,%,2017,1.1.1,ARM
Armenia,Growth Rates of Household Expenditure or Income per Capita,4.6,%,2011-2016,10.1.1,ARM
Armenia,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,2.3,%,2011-2016,10.1.1,ARM
Armenia,Proportion of Urban Population Living in Slums,14.4,%,2014,11.1.1,ARM
Armenia,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas,25,migrogram/m3,2014,11.6.2,ARM
Armenia,"Material Footprint, Million Metric Tons ",14.3,,2010,12.2.1,ARM
Armenia,"Material Footprint, Per Capita ",4.8,,2010,12.2.1,ARM
Armenia,"Domestic Material Consumption, Million Metric Tons",16,,2010,12.2.2,ARM
Armenia,"Domestic Material Consumption, Per Capita",5.4,,2010,12.2.2,ARM
Armenia,Coverage of Protected Areas in Relation to Marine Areas,,%,2016,14.5.1,ARM
Armenia,Forest Area as a Proportion of Total Land Area,11.8,%,2015,15.1.1,ARM
Armenia,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,98.7,%,2016,16.9.1,ARM
Armenia,Volume of Remittances in US Dollars as a Proportion of Total GDP,13.1,%,2016,17.3.2,ARM
Armenia,Debt Service as a Percentage of Exports of Goods and Services,5.4,%,2016,17.4.1,ARM
Armenia,Prevalence of Undernourishment,4.4,%,2014-2016,2.1.1,ARM
