Regional Economy,Statistic,Value,Unit of Measurement,Year,Sustainable Development Goal,Country Code,ADB Country Code
Afghanistan,"Proportion of Employed Population below $1.90 PPP a Day, Female",40,%,2018,1.1.1,AFG,AFG
Afghanistan,"Proportion of Employed Population below $1.90 PPP a Day, Male",36.3,%,2018,1.1.1,AFG,AFG
Afghanistan,"Proportion of Employed Population below $1.90 PPP a Day, Total",37.6,%,2018,1.1.1,AFG,AFG
Afghanistan,Growth Rates of Household Expenditure or Income per Capita,,%,,10.1.1,AFG,AFG
Afghanistan,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,,%,,10.1.1,AFG,AFG
Afghanistan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,59.9,migrogram/m3,2016,11.6.2,AFG,AFG
Afghanistan,"Material Footprint, Million Metric Tons",43.4,,2017,12.2.1,AFG,AFG
Afghanistan,"Material Footprint, Per Capita",1.2,,2017,12.2.1,AFG,AFG
Afghanistan,"Domestic Material Consumption, Million Metric Tons",67.9,,2017,12.2.2,AFG,AFG
Afghanistan,"Domestic Material Consumption, Per Capita",1.9,,2017,12.2.2,AFG,AFG
Afghanistan,Coverage of Protected Areas in Relation to Marine Areas,,%,,14.5.1,AFG,AFG
Afghanistan,Forest Area as a Proportion of Total Land Area,2.1,%,2015,15.1.1,AFG,AFG
Afghanistan,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,42.3,%,2015,16.9.1,AFG,AFG
Afghanistan,Volume of Remittances in United States Dollars as a Proportion of Total GDP,1.9,%,2017,17.3.2,AFG,AFG
Afghanistan,Debt Service as a Percentage of Exports of Goods and Services,3.8,%,2017,17.4.1,AFG,AFG
Afghanistan,Prevalence of Undernourishment,30.3,%,2015-2017,2.1.1,AFG,AFG
Afghanistan,Prevalence of Stunting among Children under 5 Years of Age,40.9,%,2013,2.2.1,AFG,AFG
Afghanistan,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,5.4,%,2013,2.2.2,AFG,AFG
Afghanistan,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,9.5,%,2013,2.2.2,AFG,AFG
Afghanistan,Maternal Mortality Ratio,396,"per 100,000 live births",2015,3.1.1,AFG,AFG
Afghanistan,Under-5 Mortality Rate,68,"per 1,000 live births",2017,3.2.1,AFG,AFG
Afghanistan,Neonatal Mortality Rate,39,"per 1,000 live births",2017,3.2.2,AFG,AFG
Afghanistan,Tuberculosis Incidence,189,"per 100,000 population",2017,3.3.2,AFG,AFG
Afghanistan,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",29.8,%,2016,3.4.1,AFG,AFG
Afghanistan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",,%,,4.2.2,AFG,AFG
Afghanistan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",,%,,4.2.2,AFG,AFG
Afghanistan,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",,%,,4.2.2,AFG,AFG
Afghanistan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",,%,,4.c.1,AFG,AFG
Afghanistan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",,%,,4.c.1,AFG,AFG
Afghanistan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Primary",,%,,4.c.1,AFG,AFG
Afghanistan,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Upper Secondary",,%,,4.c.1,AFG,AFG
Afghanistan,Proportion of Seats Held by Women in National Parliaments,27.3,%,2018,5.5.1,AFG,AFG
Afghanistan,"Proportion of Population Using Safely Managed Drinking Water Services, Rural",,%,,6.1.1,AFG,AFG
Afghanistan,"Proportion of Population Using Safely Managed Drinking Water Services, Total",,%,,6.1.1,AFG,AFG
Afghanistan,"Proportion of Population Using Safely Managed Drinking Water Services, Urban",,%,,6.1.1,AFG,AFG
Afghanistan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Rural",,%,,6.2.1,AFG,AFG
Afghanistan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Total",,%,,6.2.1,AFG,AFG
Afghanistan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",,%,,6.2.1,AFG,AFG
Afghanistan,Proportion of Population with Access to Electricity,84.1,%,2016,7.1.1,AFG,AFG
Afghanistan,Renewable Energy Share in the Total Final Energy Consumption,20.8,%,2016,7.2.1,AFG,AFG
Afghanistan,Number of Automated Teller Machines (ATMs),1.3,"per 100,000 adults",2017,8.10.1,AFG,AFG
Afghanistan,Number of Commercial Bank Branches,2.1,"per 100,000 adults",2017,8.10.1,AFG,AFG
Afghanistan,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile-Money-Service Provider,14.9,%,2017,8.10.2,AFG,AFG
Afghanistan,Annual Growth Rate of Real GDP per Employed Person,-0.1,%,2018,8.2.1,AFG,AFG
Afghanistan,"Unemployment Rate, Female",2.4,%,2018,8.5.2,AFG,AFG
Afghanistan,"Unemployment Rate, Male",1.1,%,2018,8.5.2,AFG,AFG
Afghanistan,"Unemployment Rate, Total",1.5,%,2018,8.5.2,AFG,AFG
Afghanistan,"CO2 Emissions, Million Metric Tons",,,,9.4.1,AFG,AFG
Afghanistan,"CO2 Emissions, Per Unit of GDP (PPP)",,,,9.4.1,AFG,AFG
Afghanistan,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",490.9,"disbursements, constant 2016, $ million",2017,9.a.1,AFG,AFG
Afghanistan,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",0.5,"disbursements, constant 2016, $ million",2016,9.a.1,AFG,AFG
Afghanistan,"Proportion of Population Covered by Mobile Network, 2G",90,%,2017,9.c.1,AFG,AFG
Afghanistan,"Proportion of Population Covered by Mobile Network, 3G",46,%,2017,9.c.1,AFG,AFG
Afghanistan,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",5,%,2017,9.c.1,AFG,AFG
Afghanistan,Age Dependency Ratio,85,% of working-age population,2017,,AFG,AFG
Afghanistan,Annual Change in Money Supply,9,%,2018,,AFG,AFG
Afghanistan,Annual Growth Rate of Gross Domestic Product (GDP),2.7,%,2017,,AFG,AFG
Afghanistan,Annual Growth Rate of Gross Domestic Product (GDP),2.2,%,2018,,AFG,AFG
Afghanistan,"Annual Real Growth Rates on Valued Added, Agriculture",2,%,2018,,AFG,AFG
Afghanistan,"Annual Real Growth Rates on Valued Added, Industry",2,%,2018,,AFG,AFG
Afghanistan,"Annual Real Growth Rates on Valued Added, Services",2.5,%,2018,,AFG,AFG
Afghanistan,Average Annual Population Growth Rate,2.8,%,2013-2018,,AFG,AFG
Afghanistan,"Central Government Finance, Expenditure",26.8,% of GDP,2018,,AFG,AFG
Afghanistan,"Central Government Finance, Fiscal Balance",-0.4,% of GDP,2018,,AFG,AFG
Afghanistan,"Central Government Finance, Revenue",26.4,% of GDP,2018,,AFG,AFG
Afghanistan,Current Account Balance,5.3,% of GDP,2018,,AFG,AFG
Afghanistan,"External Debt, Total Outstanding",5.9,% of GNI,2017,,AFG,AFG
Afghanistan,"External Debt, Total Outstanding","1,168",$ million,2017,,AFG,AFG
Afghanistan,Gross Domestic Investment,,% of GDP,,,AFG,AFG
Afghanistan,Gross International Reserves,"8,251",$ million,2018,,AFG,AFG
Afghanistan,Growth Rate of Merchandise Exports,11.9,%,2018,,AFG,AFG
