Regional Economy,Statistic,Value,Footnote,Unit of Measurement,Year,Sustainable Development Goal,ADB Country Code
Afghanistan,Age Dependency Ratio,84.08,,% of working-age population,2018,,AFG
Afghanistan,Annual Change in Money Supply,5.7,,%,2019,,AFG
Afghanistan,"Annual Growth Rate of GDP



",3,,%,2019,,AFG
Afghanistan,Annual Growth Rate of Real GDP per Employed Person,-0.44,,%,2019,8.2.1,AFG
Afghanistan,Annual Real Growth Rates on Value Added (Agriculture),7.5,,%,2019,,AFG
Afghanistan,Annual Real Growth Rates on Value Added (Industry),2,,%,2019,,AFG
Afghanistan,Annual Real Growth Rates on Value Added (Services),1.8,,%,2019,,AFG
Afghanistan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,59.9,,μg/m3,2016,11.6.2,AFG
Afghanistan,Average Annual Population Growth Rate,2.91,,%,2014-2019,,AFG
Afghanistan,CO2 Emissions,…,,Million Metric Tons,2017,9.4.1,AFG
Afghanistan,CO2 Emissions,…,,Per Unit of GDP (PPP),2017,9.4.1,AFG
Afghanistan,Coverage of Protected Areas in Relation to Marine Areas,…,,%,2018,14.5.1,AFG
Afghanistan,Current Account Balance,2,,% of GDP,2019,,AFG
Afghanistan,Debt Service as a Percentage of Exports of Goods and Services,3.98,6,%,2017,17.4.1,AFG
Afghanistan,Domestic Material Consumption,67.86,,Million Metric Tons,2017,12.2.2,AFG
Afghanistan,Domestic Material Consumption,1.91,,Per Capita,2017,12.2.2,AFG
Afghanistan,Forest Area as a Proportion of Total Land Area,2.07,,%,2015,15.1.1,AFG
Afghanistan,Government Finance - Expenditure,26.9,,% of  GDP,2019,,AFG
Afghanistan,Government Finance - Fiscal Balance,0.1,,% of  GDP,2019,,AFG
Afghanistan,Government Finance - Revenue,27,,% of  GDP,2019,,AFG
Afghanistan,Gross Domestic Investment,…,,% of GDP,2019,,AFG
Afghanistan,Gross International Reserves,8298,,$ million,2019,,AFG
Afghanistan,Growth Rate of Merchandise Exports,8.34,,%,2019,,AFG
Afghanistan,Growth Rate of Merchandise Imports,3.35,,%,2019,,AFG
Afghanistan,Growth Rates of Household Expenditure or Income per Capita,…,,%,,10.1.1,AFG
Afghanistan,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,%,,10.1.1,AFG
Afghanistan,Inflation Rate,2.3,,%,2019,,AFG
Afghanistan,Material Footprint,43.43,,Million Metric Tons,2017,12.2.1,AFG
Afghanistan,Material Footprint,1.22,,Per Capita,2017,12.2.1,AFG
Afghanistan,Maternal Mortality Ratio,638,,"per 100,000 live births",2017,3.1.1,AFG
Afghanistan,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",29.8,,%,2016,3.4.1,AFG
Afghanistan,Neonatal Mortality Rate,37.1,,"per 1,000 live births",2018,3.2.2,AFG
Afghanistan,"Nominal Gross Domestic Product (GDP)



",20.82,,$ billion,2019,,AFG
Afghanistan,Number of ATMs,1.61,,"per 100,000 adults",2018,8.10.1,AFG
Afghanistan,Number of Commercial Bank Branches ,2.25,,"per 100,000 adults",2018,8.10.1,AFG
Afghanistan,Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),…,,%,2018,4.2.2,AFG
Afghanistan,Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),…,,%,2018,4.2.2,AFG
Afghanistan,Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),…,,%,2018,4.2.2,AFG
Afghanistan,"Per Capita Gross National Income (GNI), Atlas Method",550,,$,2018,,AFG
Afghanistan,Population Density,47,,persons per km2 of surface area,2019,,AFG
Afghanistan,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,4.1,7,%,2018,2.2.2,AFG
Afghanistan,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,5.13,7,%,,2.2.2,AFG
Afghanistan,Prevalence of Stunting among Children under 5 Years of Age,38.19,7,%,2018,2.2.1,AFG
Afghanistan,Prevalence of Undernourishment,29.8,,%,2016-2018,2.1.1,AFG
Afghanistan,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,14.89,,%,2017,8.10.2,AFG
Afghanistan,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,42.3,4,%,2015,16.9.1,AFG
Afghanistan,Proportion of Employed Population below $1.90 PPP a Day (Female),53.12,,%,2019,1.1.1,AFG
Afghanistan,Proportion of Employed Population below $1.90 PPP a Day (Male),36.7,,%,2019,1.1.1,AFG
Afghanistan,Proportion of Employed Population below $1.90 PPP a Day (Total),40.11,,%,2019,1.1.1,AFG
Afghanistan,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,…,,%,2018,,AFG
Afghanistan,Proportion of Population Covered by Mobile Network - 2G,90,,%,2018,9.c.1,AFG
Afghanistan,Proportion of Population Covered by Mobile Network - 3G,55,,%,2018,9.c.1,AFG
Afghanistan,Proportion of Population Covered by Mobile Network - LTE/WiMAX,7,,%,2018,9.c.1,AFG
Afghanistan,Proportion of Population Living below the National Poverty Line,54.5,5,%,2016,,AFG
Afghanistan,Proportion of Population Using Safely Managed Drinking Water Services (Rural),…,,%,2017,6.1.1,AFG
Afghanistan,Proportion of Population Using Safely Managed Drinking Water Services (Total),…,,%,2017,6.1.1,AFG
Afghanistan,Proportion of Population Using Safely Managed Drinking Water Services (Urban),…,,%,2017,6.1.1,AFG
Afghanistan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",…,,%,2017,6.2.1,AFG
Afghanistan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",…,,%,2017,6.2.1,AFG
Afghanistan,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",…,,%,2017,6.2.1,AFG
Afghanistan,Proportion of Population with Access to Electricity,…,,%,2017,7.1.1,AFG
Afghanistan,Proportion of Seats Held by Women in National Parliaments,27.87,7,%,2018,5.5.1,AFG
Afghanistan,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),…,,%,2018,4.c.1,AFG
Afghanistan,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),…,,%,2018,4.c.1,AFG
Afghanistan,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),…,,%,2018,4.c.1,AFG
