regDesc,agr_wage_farm_workers_allgender_2015,agr_wage_farm_workers_male_2015,agr_wage_farm_workers_female_2015,avg_annual_total_incm_farm_households_02_03,avg_annual_farm_incm_farm_households_02_03,avg_annual_off_farm_incm_farm_households_02_03,avg_annual_non_farm_incm_farm_households_02_03,avg_annual_other_sources_incm_farm_households_02_03,avg_rural_income_2000,total_emply_2016
Armm,162.89,163.65,103.81,73356,34026,5737,24936,8657,73673,1140
Bicol Region,167.99,169.95,119.52,82988,36579,7348,30381,8680,72626,2331
Cagayan Valley,228.77,232.64,199.98,145809,87353,6909,39894,11653,94212,1482
Calabarzon,230.92,231.45,172.04,143075,64498,8444,48590,21543,NA,5687
Car,206.68,211.04,195.62,127067,71142,9731,37178,9016,95635,765
Caraga,194.46,195.44,187.78,84569,54004,11118,13892,5555,63574,1086
Central Luzon,257.97,259.04,204.73,158130,85048,6073,50413,16596,125626,4363
Central Visayas,156.17,160.65,150.67,72177,28074,5574,31055,7474,68447,3234
Davao Region,168.68,169.83,158.91,101673,69496,5593,17573,9011,79983,2016
Eastern Visayas,157.49,159.25,112.22,82503,47359,6066,23812,5266,68077,1790
Ilocos Region,237.26,239.19,199.04,118637,51544,4358,36054,26681,103915,1988
Mimaropa,188.73,192.16,170.73,126237,74702,6579,35262,9694,NA,1252
Northern Mindanao,159.12,160.07,151.39,82299,49988,4256,23279,4776,73966,2004
Soccsksargen,164.77,166.75,159.14,134406,84331,9347,33658,7070,73428,1854
Western Visayas,165.28,167.77,156.96,79949,41266,6746,21772,10165,76488,3208
Zamboanga Peninsula,157.37,158.55,152.79,99327,54135,5946,33431,5815,64413,1540
